code,year,d_drowning,d_interpersonal_violence,d_exposure_to_forces_of_nature,d_road_injuries,d_poisonings,d_fire_heat_and_hot_substances
AFG,1990,1370,1538,0,4154,338,323
AFG,1991,1391,2001,1347,4472,351,332
AFG,1992,1514,2299,614,5106,386,360
AFG,1993,1687,2589,225,5681,425,396
AFG,1994,1809,2849,160,6001,451,420
AFG,1995,1881,2969,381,6211,467,434
AFG,1996,1969,3331,70,6446,485,450
AFG,1997,2078,3028,175,6677,504,469
AFG,1998,2098,3098,7123,6683,505,472
AFG,1999,2084,2917,70,6603,502,470
AFG,2000,2048,2871,0,6581,499,465
AFG,2001,2044,2971,4,6720,502,467
AFG,2002,1980,3277,1286,6696,490,455
AFG,2003,2282,3458,137,7243,531,499
AFG,2004,2386,3479,18,7522,547,516
AFG,2005,2315,3506,561,7577,540,507
AFG,2006,2235,3609,382,7484,527,496
AFG,2007,2127,3657,296,7425,512,481
AFG,2008,1973,3785,1317,7355,495,462
AFG,2009,1852,3874,101,7290,483,448
AFG,2010,1837,4130,350,7379,484,451
AFG,2011,1775,4170,83,7432,483,448
AFG,2012,1716,4245,333,7494,482,445
AFG,2013,1777,4379,155,8054,494,460
AFG,2014,1757,4420,575,8087,496,463
AFG,2015,1730,5039,446,7730,496,463
AFG,2016,1742,5033,84,7866,504,471
AFG,2017,1723,5191,226,8013,512,476
AFG,2018,1669,5500,123,8095,514,475
AFG,2019,1687,5015,128,8254,525,485
WHO,1990,27182,50714,290,130403,17453,19552
WHO,1991,27357,52671,574,132658,17461,19696
WHO,1992,27469,56013,30,136413,17712,20040
WHO,1993,27435,59415,115,136847,17734,20066
WHO,1994,27428,58643,892,139782,17835,20307
WHO,1995,27334,59011,324,142066,17862,20343
WHO,1996,27045,60209,296,143610,17815,20342
WHO,1997,27287,61570,853,148113,18037,20682
WHO,1998,27224,64521,275,151827,18097,21022
WHO,1999,27200,66899,706,154153,18195,21093
WHO,2000,27216,69723,1433,157798,18383,21459
WHO,2001,27093,69003,1628,158898,18288,21558
WHO,2002,27244,71584,703,161684,18473,21775
WHO,2003,27422,70893,2806,164941,18612,21991
WHO,2004,27387,71582,635,167244,18747,22274
WHO,2005,27583,70507,487,168488,18871,22463
WHO,2006,27887,71134,1376,170604,19086,22817
WHO,2007,27732,70464,851,171057,19117,22983
WHO,2008,27146,70859,698,171025,18993,22859
WHO,2009,26969,70542,656,171249,18954,22863
WHO,2010,26638,71445,1191,171282,19084,22849
WHO,2011,26284,72653,792,171257,18866,22821
WHO,2012,26188,72562,964,172395,18964,22956
WHO,2013,25939,73762,707,173218,19026,23166
WHO,2014,25925,76260,481,175064,19096,23365
WHO,2015,25661,75765,1113,177278,19054,23658
WHO,2016,25516,77100,977,177824,19089,23658
WHO,2017,24882,79592,2565,179171,18993,23607
WHO,2018,24363,82156,949,180937,18910,23652
WHO,2019,23768,79735,1642,182243,18792,23657
ALB,1990,147,177,0,395,13,31
ALB,1991,160,207,0,421,16,34
