code,year,d_meningitis,d_malaria,d_tuberculosis,d_acute_hepatitis,d_lower_respiratory_infections
AFG,1990,2159,93,4661,2985,23741
AFG,1991,2218,189,4743,3092,24504
AFG,1992,2475,239,4976,3325,27404
AFG,1993,2812,108,5254,3601,31116
AFG,1994,3027,211,5470,3816,33390
AFG,1995,3102,175,5628,3946,34030
AFG,1996,3193,175,5821,4098,34787
AFG,1997,3304,240,5949,4252,35565
AFG,1998,3281,563,5930,4310,34943
AFG,1999,3200,468,5887,4332,33713
AFG,2000,3105,263,5864,4334,32395
AFG,2001,3063,211,5900,4363,31594
AFG,2002,2990,2883,5660,4251,30346
AFG,2003,3300,2188,5676,4373,32361
AFG,2004,3350,773,5607,4345,32222
AFG,2005,3238,545,5403,4194,30898
AFG,2006,3098,414,5203,3870,29406
AFG,2007,2933,393,4995,3437,27672
AFG,2008,2731,255,4790,3005,25800
AFG,2009,2460,239,4579,2663,24340
AFG,2010,2410,377,4416,2482,23701
AFG,2011,2327,390,4259,2365,22883
AFG,2012,2254,94,4122,2264,22162
AFG,2013,2281,143,4047,2204,22260
AFG,2014,1935,228,3970,2134,21750
AFG,2015,1821,284,3893,2065,21016
AFG,2016,1795,388,3843,2044,20601
AFG,2017,1665,399,3783,2046,19868
AFG,2018,1576,466,3681,1972,19014
AFG,2019,1563,530,3627,1940,18697
WHO,1990,172206,588508,417463,17666,767792
WHO,1991,174087,607330,423140,17844,774437
WHO,1992,178190,620445,430416,18069,784696
WHO,1993,179299,638935,435082,18164,790421
WHO,1994,178971,650973,444128,18447,798497
WHO,1995,181068,668983,453413,18793,805722
WHO,1996,196542,688268,458276,19003,808447
WHO,1997,186353,708186,461361,19258,812036
WHO,1998,186059,726403,466997,19560,815131
WHO,1999,188150,743180,469673,19735,817469
WHO,2000,190368,763846,476694,20009,820652
WHO,2001,191541,793502,475313,20181,815453
WHO,2002,191641,804507,472564,19959,814555
WHO,2003,195470,835458,470406,19800,808557
WHO,2004,193935,841388,464556,19614,801123
WHO,2005,194506,831177,455817,19428,792862
WHO,2006,196650,833619,452305,18981,791879
WHO,2007,195161,835237,445259,18048,782861
WHO,2008,189839,832282,438248,17050,768014
WHO,2009,187657,821742,432015,16377,756479
WHO,2010,182351,804031,422921,15977,743510
WHO,2011,172992,764244,413729,15720,730110
WHO,2012,169244,727320,408150,15470,723919
WHO,2013,161754,694438,405933,15255,720857
WHO,2014,158749,655614,405962,15044,718903
WHO,2015,151136,631381,402753,14778,713144
WHO,2016,150715,604566,395453,14626,705550
WHO,2017,148223,578326,385580,14517,689041
WHO,2018,142925,578552,375906,14176,673757
WHO,2019,139590,590252,369065,13950,662060
ALB,1990,107,0,46,4,2140
ALB,1991,112,0,45,3,2196
ALB,1992,108,0,40,3,2104
ALB,1993,102,0,35,3,1977
ALB,1994,93,0,31,2,1795
ALB,1995,85,0,29,2,1627
ALB,1996,76,0,28,2,1461
ALB,1997,69,0,27,2,1309
ALB,1998,63,0,26,2,1176
ALB,1999,55,0,23,1,1023
ALB,2000,48,0,21,1,875
ALB,2001,42,0,19,1,742
ALB,2002,39,0,18,1,671
ALB,2003,36,0,18,1,624
ALB,2004,33,0,17,1,560
ALB,2005,30,0,15,1,501
ALB,2006,28,0,13,1,441
ALB,2007,24,0,12,1,393
ALB,2008,21,0,11,1,374
ALB,2009,17,0,10,1,357
ALB,2010,16,0,10,1,351
