code,year,d_nutritional_deficiencies,d_proteinenergy_malnutrition,d_maternal_disorders
AFG,1990,2087,2054,2655
AFG,1991,2153,2119,2885
AFG,1992,2441,2404,3315
AFG,1993,2837,2797,3671
AFG,1994,3081,3038,3863
AFG,1995,3131,3087,4035
AFG,1996,3175,3130,4203
AFG,1997,3250,3203,4351
AFG,1998,3193,3145,4397
AFG,1999,3115,3068,4327
AFG,2000,3060,3013,4271
AFG,2001,2973,2924,4385
AFG,2002,2795,2746,4498
AFG,2003,3039,2984,4702
AFG,2004,3033,2978,4799
AFG,2005,2879,2824,4936
AFG,2006,2727,2675,4884
AFG,2007,2488,2439,4990
AFG,2008,2277,2231,5020
AFG,2009,2040,1998,5013
AFG,2010,1974,1932,4940
AFG,2011,1846,1805,4857
AFG,2012,1705,1667,4736
AFG,2013,1690,1651,4623
AFG,2014,1617,1579,4470
AFG,2015,1505,1469,4320
AFG,2016,1452,1416,4212
AFG,2017,1367,1332,4123
AFG,2018,1279,1245,4102
AFG,2019,1244,1210,4038
WHO,1990,215934,208628,77668
WHO,1991,216068,208785,78143
WHO,1992,217480,210192,79202
WHO,1993,217090,209852,79594
WHO,1994,215874,208675,80682
WHO,1995,213775,206636,80878
WHO,1996,210452,203405,81732
WHO,1997,207241,200289,82906
WHO,1998,204485,197634,85047
WHO,1999,200991,194314,87025
WHO,2000,195624,189269,88500
WHO,2001,188347,182390,90121
WHO,2002,182910,177278,92591
WHO,2003,175227,169874,95596
WHO,2004,168344,163232,98071
WHO,2005,163907,159014,99452
WHO,2006,158053,153330,100304
WHO,2007,151048,146513,100767
WHO,2008,143418,139051,100614
WHO,2009,136904,132650,101003
WHO,2010,131125,126961,100748
WHO,2011,127263,123154,100550
WHO,2012,123130,119060,99221
WHO,2013,120077,116021,97999
WHO,2014,117086,113054,96746
WHO,2015,114234,110216,94701
WHO,2016,112307,108266,93796
WHO,2017,110048,105990,92905
WHO,2018,103714,99740,92260
WHO,2019,98704,94780,91905
ALB,1990,37,35,26
ALB,1991,42,40,24
ALB,1992,44,42,21
ALB,1993,46,44,18
ALB,1994,46,44,14
ALB,1995,48,46,13
ALB,1996,46,44,12
ALB,1997,43,41,11
ALB,1998,38,36,9
ALB,1999,31,30,8
ALB,2000,22,21,8
ALB,2001,16,15,6
ALB,2002,13,11,6
ALB,2003,10,9,6
ALB,2004,8,7,5
ALB,2005,7,6,6
ALB,2006,6,5,5
ALB,2007,6,4,5
ALB,2008,5,4,5
ALB,2009,5,4,4
ALB,2010,5,4,4
ALB,2011,5,4,4
ALB,2012,5,4,4
ALB,2013,5,4,4
ALB,2014,5,4,3
ALB,2015,5,4,3
ALB,2016,5,4,3
ALB,2017,5,4,3
ALB,2018,5,3,3
ALB,2019,5,3,3
DZA,1990,453,422,1634
DZA,1991,439,408,1541
DZA,1992,427,396,1482
DZA,1993,417,386,1422
DZA,1994,402,370,1356
DZA,1995,385,354,1295
DZA,1996,367,336,1229
DZA,1997,356,326,1167
DZA,1998,342,313,1093
DZA,1999,324,295,1069
DZA,2000,308,279,1027
DZA,2001,283,255,993
DZA,2002,253,228,982
DZA,2003,223,200,923
DZA,2004,201,178,892
DZA,2005,183,162,876
DZA,2006,167,146,867
DZA,2007,153,133,861
DZA,2008,141,122,852
DZA,2009,132,113,840
DZA,2010,126,108,809
DZA,2011,123,104,781
DZA,2012,120,101,748
DZA,2013,118,100,721
DZA,2014,119,99,692
DZA,2015,118,98,695
DZA,2016,116,96,677
DZA,2017,114,94,659
DZA,2018,114,93,654
DZA,2019,114,92,638
ASM,1990,2,2,1
ASM,1991,2,2,1
ASM,1992,2,2,1
ASM,1993,2,2,1
ASM,1994,2,2,1
ASM,1995,2,2,1
ASM,1996,2,2,1
ASM,1997,2,2,1
ASM,1998,2,2,1
ASM,1999,2,2,1
ASM,2000,2,2,1
ASM,2001,2,2,1
ASM,2002,2,2,1
ASM,2003,2,2,1
ASM,2004,2,2,1
ASM,2005,2,2,1
ASM,2006,2,2,1
ASM,2007,2,2,1
ASM,2008,2,2,1
ASM,2009,2,2,1
ASM,2010,2,2,1
ASM,2011,2,2,1
ASM,2012,2,2,1
ASM,2013,2,2,1
ASM,2014,2,2,1
ASM,2015,2,2,1
ASM,2016,2,2,1
ASM,2017,2,2,1
ASM,2018,2,2,1
ASM,2019,2,2,1
AND,1990,0,0,0
AND,1991,0,0,0
AND,1992,0,0,0
AND,1993,0,0,0
AND,1994,0,0,0
AND,1995,0,0,0
AND,1996,0,0,0
AND,1997,0,0,0
AND,1998,0,0,0
AND,1999,0,0,0
AND,2000,0,0,0
AND,2001,0,0,0
AND,2002,0,0,0
AND,2003,0,0,0
AND,2004,0,0,0
AND,2005,0,0,0
AND,2006,0,0,0
AND,2007,0,0,0
AND,2008,0,0,0
AND,2009,0,0,0
AND,2010,0,0,0
AND,2011,0,0,0
AND,2012,0,0,0
AND,2013,0,0,0
AND,2014,0,0,0
AND,2015,0,0,0
AND,2016,0,0,0
AND,2017,0,0,0
AND,2018,0,0,0
AND,2019,0,0,0
AGO,1990,12232,11942,1662
AGO,1991,12199,11912,1680
AGO,1992,12147,11864,1718
AGO,1993,12121,11838,1813
AGO,1994,11921,11644,1897
AGO,1995,11580,11314,1887
AGO,1996,11048,10802,1768
AGO,1997,10507,10277,1754
AGO,1998,10132,9910,1889
AGO,1999,9713,9502,1983
AGO,2000,9327,9131,1993
AGO,2001,9004,8824,1978
AGO,2002,8540,8374,1932
AGO,2003,8235,8076,2080
AGO,2004,8346,8189,2107
