code,year,d_hiv_aids,d_drug_use_disorders,d_selfharm
AFG,1990,34,93,696
AFG,1991,41,102,751
AFG,1992,48,118,855
AFG,1993,56,132,943
AFG,1994,63,142,993
AFG,1995,71,151,1032
AFG,1996,78,159,1070
AFG,1997,84,168,1104
AFG,1998,89,173,1114
AFG,1999,93,178,1120
AFG,2000,97,186,1137
AFG,2001,104,197,1183
AFG,2002,111,202,1190
AFG,2003,118,216,1235
AFG,2004,125,229,1283
AFG,2005,132,239,1300
AFG,2006,140,245,1303
AFG,2007,148,252,1310
AFG,2008,157,261,1330
AFG,2009,167,270,1342
AFG,2010,176,281,1367
AFG,2011,184,292,1391
AFG,2012,191,305,1413
AFG,2013,200,316,1433
AFG,2014,213,326,1444
AFG,2015,230,339,1467
AFG,2016,251,354,1505
AFG,2017,272,372,1548
AFG,2018,291,390,1582
AFG,2019,318,406,1613
WHO,1990,265452,1068,40058
WHO,1991,343399,1121,41029
WHO,1992,433895,1199,42534
WHO,1993,535470,1225,42902
WHO,1994,645341,1290,44173
WHO,1995,760306,1340,45298
WHO,1996,875836,1373,46115
WHO,1997,989767,1461,48221
WHO,1998,1101108,1509,50023
WHO,1999,1203809,1543,51001
WHO,2000,1294485,1596,52486
WHO,2001,1369991,1607,53194
WHO,2002,1430201,1639,54425
WHO,2003,1473615,1670,55796
WHO,2004,1491641,1698,56686
WHO,2005,1470200,1721,57189
WHO,2006,1407953,1754,57820
WHO,2007,1318224,1785,58014
WHO,2008,1218332,1839,58492
WHO,2009,1129009,1906,59195
WHO,2010,1056095,1940,59715
WHO,2011,987518,2000,60078
WHO,2012,915689,2062,60815
WHO,2013,852253,2140,61688
WHO,2014,804418,2226,62792
WHO,2015,768624,2297,63572
WHO,2016,742638,2382,64565
WHO,2017,707227,2483,65978
WHO,2018,660555,2600,67819
WHO,2019,635623,2703,69367
ALB,1990,1,5,125
ALB,1991,1,7,136
ALB,1992,1,7,132
ALB,1993,2,10,131
ALB,1994,2,15,125
ALB,1995,2,17,133
ALB,1996,2,17,141
ALB,1997,2,17,158
ALB,1998,2,21,170
ALB,1999,2,18,163
ALB,2000,2,21,151
ALB,2001,2,26,148
ALB,2002,2,30,154
ALB,2003,2,31,165
ALB,2004,2,30,170
ALB,2005,2,23,169
ALB,2006,2,21,162
ALB,2007,2,23,158
ALB,2008,2,23,163
ALB,2009,2,19,160
ALB,2010,2,21,160
ALB,2011,2,22,160
ALB,2012,2,23,158
ALB,2013,2,24,157
ALB,2014,2,25,158
ALB,2015,2,26,160
ALB,2016,2,27,158
ALB,2017,2,28,156
ALB,2018,2,28,154
ALB,2019,2,29,152
DZA,1990,44,171,1405
DZA,1991,50,179,1388
DZA,1992,57,192,1406
DZA,1993,64,205,1428
DZA,1994,72,223,1474
DZA,1995,80,239,1500
DZA,1996,90,256,1521
DZA,1997,101,274,1546
DZA,1998,113,290,1550
DZA,1999,118,310,1584
DZA,2000,123,327,1591
DZA,2001,137,341,1599
DZA,2002,155,354,1601
DZA,2003,175,355,1554
DZA,2004,196,364,1547
DZA,2005,217,373,1537
DZA,2006,244,380,1523
DZA,2007,278,386,1504
DZA,2008,297,392,1487
DZA,2009,318,399,1474
DZA,2010,329,406,1458
DZA,2011,335,418,1467
DZA,2012,343,429,1468
DZA,2013,345,441,1473
DZA,2014,355,454,1485
DZA,2015,328,465,1483
DZA,2016,309,470,1457
DZA,2017,289,484,1451
DZA,2018,275,509,1489
DZA,2019,264,526,1516
ASM,1990,0,0,3
ASM,1991,0,0,3
ASM,1992,0,0,3
ASM,1993,0,0,3
ASM,1994,0,0,3
ASM,1995,0,0,3
ASM,1996,0,0,3
ASM,1997,0,0,4
ASM,1998,0,0,3
ASM,1999,0,0,3
ASM,2000,0,0,4
ASM,2001,0,0,4
ASM,2002,0,0,3
ASM,2003,1,0,3
ASM,2004,1,0,3
ASM,2005,1,0,3
ASM,2006,1,0,3
ASM,2007,1,0,3
ASM,2008,1,0,3
ASM,2009,1,0,3
ASM,2010,1,0,3
ASM,2011,1,0,3
ASM,2012,1,0,3
ASM,2013,1,0,4
ASM,2014,1,0,4
ASM,2015,1,0,4
ASM,2016,1,0,4
ASM,2017,1,0,4
ASM,2018,0,0,4
ASM,2019,0,0,4
AND,1990,1,0,6
AND,1991,2,0,6
AND,1992,2,0,7
AND,1993,2,0,7
AND,1994,2,0,7
AND,1995,3,0,7
AND,1996,3,0,7
AND,1997,3,0,7
AND,1998,3,0,7
AND,1999,3,0,7
AND,2000,3,0,7
AND,2001,3,0,7
AND,2002,3,0,7
AND,2003,3,0,7
AND,2004,3,0,8
AND,2005,3,0,8
AND,2006,3,0,8
AND,2007,3,0,8
AND,2008,3,0,8
AND,2009,4,0,8
AND,2010,3,0,8
AND,2011,3,0,7
AND,2012,3,0,7
AND,2013,3,0,7
AND,2014,3,0,7
AND,2015,3,0,8
AND,2016,3,0,8
AND,2017,3,0,8
AND,2018,3,0,8
AND,2019,3,0,8
AGO,1990,239,19,973
AGO,1991,361,20,991
AGO,1992,531,21,1022
AGO,1993,762,23,1069
AGO,1994,1067,24,1113
AGO,1995,1456,24,1122
AGO,1996,1937,24,1083
AGO,1997,2514,24,1090
AGO,1998,3186,27,1158
AGO,1999,3947,28,1202
AGO,2000,4784,29,1217
AGO,2001,5685,30,1226
AGO,2002,6630,30,1220
AGO,2003,7600,32,1254
AGO,2004,8557,34,1312
AGO,2005,9398,34,1312
AGO,2006,9927,36,1349
AGO,2007,10340,38,1369
AGO,2008,10889,40,1402
AGO,2009,11433,43,1453
AGO,2010,12036,45,1501
AGO,2011,12798,49,1551
AGO,2012,13533,52,1604
AGO,2013,13524,55,1641
AGO,2014,13176,58,1646
AGO,2015,13544,61,1691
AGO,2016,14825,65,1724
