code,year,d_alzheimers_disease_and_other_dementias,d_parkinsons_disease,d_cardiovascular_diseases,d_neoplasms,d_diabetes_mellitus,d_chronic_kidney_disease,d_chronic_respiratory_diseases,d_cirrhosis_and_other_chronic_liver_diseases,d_digestive_diseases
AFG,1990,1116,371,44899,11580,2108,3709,5945,2673,5005
AFG,1991,1136,374,45492,11796,2120,3724,6050,2728,5120
AFG,1992,1162,378,46557,12218,2153,3776,6223,2830,5335
AFG,1993,1187,384,47951,12634,2195,3862,6445,2943,5568
AFG,1994,1211,391,49308,12914,2231,3932,6664,3027,5739
AFG,1995,1225,394,50158,13106,2248,3974,6823,3076,5843
AFG,1996,1239,398,51125,13335,2298,4041,7000,3133,5966
AFG,1997,1253,402,52039,13572,2347,4094,7168,3200,6096
AFG,1998,1267,405,52720,13695,2388,4120,7287,3231,6154
AFG,1999,1281,409,53413,13811,2437,4150,7400,3247,6182
AFG,2000,1291,416,53919,13977,2515,4182,7471,3249,6206
AFG,2001,1300,424,54642,14312,2657,4251,7565,3267,6277
AFG,2002,1311,429,54213,14437,2745,4239,7455,3238,6246
AFG,2003,1326,434,54274,14951,2865,4336,7471,3342,6443
AFG,2004,1344,439,54438,15360,2986,4413,7477,3394,6541
AFG,2005,1362,442,54196,15556,3070,4431,7391,3388,6528
AFG,2006,1381,446,54080,15724,3130,4461,7310,3366,6494
AFG,2007,1402,450,53962,15925,3189,4490,7222,3346,6458
AFG,2008,1424,455,54051,16148,3261,4534,7143,3316,6408
AFG,2009,1449,460,53964,16383,3336,4597,7045,3291,6358
AFG,2010,1476,465,53934,16718,3413,4693,6969,3304,6367
AFG,2011,1508,473,54347,17094,3550,4785,6916,3318,6370
AFG,2012,1544,482,54868,17522,3682,4846,6878,3353,6398
AFG,2013,1581,491,55274,18015,3827,4945,6859,3413,6476
AFG,2014,1620,502,55932,18462,3986,5055,6851,3454,6522
AFG,2015,1652,511,56875,18876,4143,5153,6835,3492,6555
AFG,2016,1690,524,57970,19459,4349,5296,6894,3578,6673
AFG,2017,1728,537,59553,20111,4497,5419,6982,3693,6841
AFG,2018,1757,551,60893,20673,4664,5531,7036,3732,6861
AFG,2019,1775,560,61995,21247,4817,5637,7082,3797,6929
WHO,1990,24312,6573,612041,250601,74790,64609,123351,119201,198446
WHO,1991,25173,6754,625730,257246,76945,66230,125505,121587,202452
WHO,1992,26141,6988,643699,265162,79846,68274,128229,124268,207105
