code,year,d_alcohol_use_disorders,d_neonatal_disorders,d_conflict_and_terrorism,d_diarrheal_diseases,d_environmental_heat_and_cold_exposure
AFG,1990,72,15612,1490,4235,175
AFG,1991,75,17128,3370,4927,113
AFG,1992,80,20060,4344,6123,38
AFG,1993,85,22335,4096,8174,41
AFG,1994,88,23288,8959,8215,44
AFG,1995,91,23722,5525,9566,46
AFG,1996,93,24104,3255,9682,49
AFG,1997,96,24368,6723,10656,50
AFG,1998,97,24010,12073,11155,51
AFG,1999,98,23386,5104,11313,51
AFG,2000,99,22920,5429,11323,52
AFG,2001,101,23276,5689,11446,380
AFG,2002,101,23976,977,11393,53
AFG,2003,104,24628,864,12348,55
AFG,2004,107,24780,1049,12258,57
AFG,2005,109,24725,2114,11532,78
AFG,2006,110,24229,5677,10356,57
AFG,2007,111,23890,8220,9320,57
AFG,2008,114,23792,6895,8275,57
AFG,2009,115,23672,7617,7359,57
AFG,2010,118,23821,8273,6889,57
AFG,2011,120,23951,9142,6412,58
AFG,2012,124,24057,11350,6008,103
AFG,2013,126,24234,11829,5986,58
AFG,2014,128,24163,18008,5751,57
AFG,2015,131,23953,23667,5509,58
AFG,2016,135,23956,28051,5376,58
AFG,2017,139,23956,19356,5328,59
AFG,2018,143,23841,27079,4597,59
AFG,2019,147,23701,24295,4320,59
WHO,1990,4098,636099,74534,931601,4236
WHO,1991,4199,644498,30864,953765,4318
WHO,1992,4323,654317,9683,942943,4433
WHO,1993,4377,665821,18618,939403,4477
WHO,1994,4485,677899,532119,958854,4573
WHO,1995,4582,690353,28496,950527,4659
WHO,1996,4683,702368,55439,952899,4750
WHO,1997,4843,714742,69745,949363,4812
WHO,1998,4938,726950,74054,944588,4909
WHO,1999,4965,737415,103105,935033,4958
WHO,2000,5014,746944,86062,920205,5034
WHO,2001,5017,756089,29179,905740,5069
WHO,2002,5079,766943,34932,884881,5194
WHO,2003,5169,777999,30846,859799,5230
WHO,2004,5250,788135,20148,836517,5223
WHO,2005,5320,799180,17479,818603,5250
WHO,2006,5415,806174,6419,817072,5313
WHO,2007,5484,812008,5278,801386,5356
WHO,2008,5578,814701,9782,782170,5331
WHO,2009,5713,815765,17706,767137,5354
WHO,2010,5835,815881,6128,745735,5344
WHO,2011,5982,816032,6727,722725,5315
WHO,2012,6134,813920,8152,701462,5320
WHO,2013,6303,810553,19938,685617,5360
WHO,2014,6472,804266,27247,671049,5427
WHO,2015,6603,794969,24033,653813,5442
WHO,2016,6735,786830,13019,642033,5455
WHO,2017,6898,772864,18316,632875,5429
WHO,2018,7078,761498,15283,601166,5407
WHO,2019,7261,749955,9519,576592,5391
ALB,1990,10,871,0,76,5
ALB,1991,11,863,0,76,5
ALB,1992,11,849,1,73,5
ALB,1993,11,840,2,66,5
ALB,1994,12,833,18,79,5
ALB,1995,13,806,2,41,6
ALB,1996,13,788,8,32,6
ALB,1997,14,813,2026,27,7
ALB,1998,15,836,5,22,7
ALB,1999,15,779,12,17,7
ALB,2000,14,711,1,15,6
ALB,2001,15,663,5,13,6
ALB,2002,15,617,1,11,6
ALB,2003,16,569,0,10,6
ALB,2004,16,516,9,10,8
ALB,2005,16,470,10,9,5
ALB,2006,16,430,18,8,4
ALB,2007,16,392,18,8,4
ALB,2008,17,365,8,7,4
ALB,2009,16,335,0,7,4
ALB,2010,17,308,0,7,5
ALB,2011,17,293,0,7,5
ALB,2012,17,269,0,7,9
ALB,2013,17,243,0,7,4
ALB,2014,18,218,1,7,4
ALB,2015,18,199,0,7,4
ALB,2016,18,186,0,7,4
ALB,2017,18,176,0,7,10
ALB,2018,18,168,0,7,4
ALB,2019,18,161,0,7,4
DZA,1990,75,17931,4,2908,35
DZA,1991,76,17421,76,2598,34
DZA,1992,78,16918,510,2363,34
DZA,1993,80,16442,826,2160,34
DZA,1994,82,15878,2428,1994,34
DZA,1995,84,15272,3425,1836,33
DZA,1996,85,14748,1620,1644,33
DZA,1997,86,14322,4905,1545,33
DZA,1998,87,13937,4410,1434,33
DZA,1999,89,13633,1519,1345,33
DZA,2000,89,13420,2534,1247,33
DZA,2001,89,13183,1330,1147,33
DZA,2002,90,13010,1597,1040,34
DZA,2003,89,12955,932,949,73
DZA,2004,90,12900,577,879,33
DZA,2005,90,12846,324,810,33
DZA,2006,91,12801,406,762,33
DZA,2007,92,12719,700,720,33
DZA,2008,92,12660,507,683,33
DZA,2009,93,12564,637,650,33
DZA,2010,94,12387,318,621,33
DZA,2011,96,12184,342,602,33
DZA,2012,98,11899,290,587,33
DZA,2013,99,11758,216,577,33
DZA,2014,101,11653,114,573,33
DZA,2015,103,11344,112,568,33
DZA,2016,104,10817,92,559,32
DZA,2017,106,10019,107,546,32
DZA,2018,109,9337,76,536,32
DZA,2019,111,8756,13,527,40
ASM,1990,0,12,0,3,1
ASM,1991,0,12,0,3,1
ASM,1992,1,12,0,3,1
ASM,1993,1,12,0,3,1
ASM,1994,1,12,0,3,1
ASM,1995,1,12,0,3,1
ASM,1996,1,11,0,3,1
ASM,1997,1,11,0,3,1
ASM,1998,1,11,0,3,1
ASM,1999,1,11,0,3,1
ASM,2000,1,10,0,2,1
ASM,2001,1,10,0,3,1
ASM,2002,1,10,0,3,1
ASM,2003,0,9,1,3,1
ASM,2004,0,9,1,3,1
ASM,2005,0,8,2,3,1
ASM,2006,0,7,2,3,1
ASM,2007,0,7,2,3,1
ASM,2008,0,6,1,3,1
ASM,2009,0,6,0,3,1
ASM,2010,0,6,0,3,1
ASM,2011,0,5,0,3,1
ASM,2012,0,5,0,3,1
ASM,2013,0,5,1,3,1
ASM,2014,1,5,0,3,1
ASM,2015,1,5,0,3,0
ASM,2016,1,5,0,3,0
ASM,2017,1,4,0,3,0
ASM,2018,1,4,0,3,0
ASM,2019,1,4,0,3,0
AND,1990,1,1,0,0,0
AND,1991,1,1,0,0,0
AND,1992,1,1,0,0,0
AND,1993,1,1,0,0,0
AND,1994,1,1,0,0,0
AND,1995,1,1,0,0,0
AND,1996,1,1,0,0,0
AND,1997,1,1,0,0,0
AND,1998,1,1,0,0,0
AND,1999,1,1,0,0,0
AND,2000,1,1,0,0,0
AND,2001,1,1,0,0,0
AND,2002,1,1,0,0,0
AND,2003,1,1,0,0,0
AND,2004,1,1,0,1,0
AND,2005,1,1,0,1,0
AND,2006,1,1,0,1,0
AND,2007,1,1,0,1,0
AND,2008,1,1,0,1,0
AND,2009,1,1,0,1,0
AND,2010,1,1,0,1,0
AND,2011,1,1,0,1,0
AND,2012,1,1,0,1,0
AND,2013,1,1,0,1,0
AND,2014,1,0,0,1,0
AND,2015,1,0,0,1,0
AND,2016,1,0,0,1,0
AND,2017,1,0,0,1,0
AND,2018,1,0,0,1,0
AND,2019,1,0,0,1,0
AGO,1990,98,14210,2756,35849,102
AGO,1991,101,14596,595,36176,103
AGO,1992,103,14954,2425,36301,106
AGO,1993,108,15384,12398,36931,110
AGO,1994,111,15824,4117,38031,114
AGO,1995,113,16276,267,38567,114
AGO,1996,111,16815,93,37603,111
AGO,1997,113,17346,2922,36872,111
AGO,1998,119,17763,14070,36356,116
AGO,1999,123,18150,7100,35307,119
AGO,2000,125,18518,3420,34141,120
AGO,2001,126,18906,3068,32011,121
AGO,2002,126,19258,600,29837,120
AGO,2003,130,19651,81,27656,121
AGO,2004,136,20008,50,26567,124
AGO,2005,137,20189,11,24854,123
AGO,2006,141,20245,12,25475,124
AGO,2007,143,20250,34,23500,125
AGO,2008,147,20218,5,22463,126
AGO,2009,153,20276,28,21581,125
AGO,2010,158,20369,23,21148,124
AGO,2011,164,20325,7,20827,123
AGO,2012,170,20305,6,20245,123
AGO,2013,175,20217,4,19421,122
AGO,2014,177,20048,0,18053,119
AGO,2015,182,19755,1,17058,118
AGO,2016,188,19349,36,15703,114
AGO,2017,196,18912,27,15071,115
AGO,2018,204,18615,31,13608,113
AGO,2019,211,18189,16,12936,114
ATG,1990,3,10,0,3,0
ATG,1991,3,10,1,3,0
ATG,1992,3,10,0,3,0
ATG,1993,3,11,0,3,0
ATG,1994,3,11,0,3,0
ATG,1995,3,12,0,3,0
ATG,1996,3,12,0,3,0
ATG,1997,4,12,0,2,0
ATG,1998,4,12,0,2,0
ATG,1999,4,11,0,2,0
ATG,2000,4,11,0,2,0
ATG,2001,4,11,0,2,0
ATG,2002,4,10,0,2,0
ATG,2003,4,10,0,2,0
ATG,2004,4,9,0,2,0
ATG,2005,4,9,0,2,0
ATG,2006,4,8,0,2,0
ATG,2007,5,8,0,2,0
ATG,2008,5,7,0,2,0
ATG,2009,5,7,0,1,0
ATG,2010,5,6,0,1,0
ATG,2011,6,6,0,1,0
ATG,2012,6,6,0,1,0
